Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1433;13/10/2012;4;13;14;40;46;52;1;VIÇOSA DO CEARÁ/CE;R$33.905.517,49;124;R$26.342,96;9358;R$498,66;R$0,00;R$55.794.726,00;R$2.000.000,00;R$42.942.062,39;
1434;17/10/2012;3;18;22;34;55;58;2;"LUIZ ALVES/SC; Ribeirão Preto/SP";R$1.352.380,47;116;R$12.657,75;6335;R$331,10;R$0,00;R$25.079.638,00;R$19.000.000,00;R$43.328.456,82;
1435;20/10/2012;4;15;45;47;50;52;0;;R$0,00;93;R$26.165,43;6915;R$502,71;R$19.534.166,50;R$41.564.024,00;R$25.000.000,00;R$43.968.821,22;
1436;24/10/2012;1;13;23;24;30;57;0;;R$0,00;127;R$21.218,15;9275;R$415,04;R$24.498.095,24;R$46.027.556,00;R$30.000.000,00;R$44.677.953,92;
1437;27/10/2012;22;23;26;37;38;48;0;;R$0,00;107;R$33.311,44;8856;R$574,96;R$31.063.955,59;R$60.881.314,00;R$38.000.000,00;R$45.615.933,98;
1438;31/10/2012;7;14;31;33;36;49;2;SÃO PAULO/SP;R$19.240.377,33;712;R$5.654,86;19524;R$294,60;R$0,00;R$68.771.562,00;R$2.500.000,00;R$46.675.476,71;
1439;03/11/2012;2;34;35;42;43;55;0;;R$0,00;45;R$32.387,25;3961;R$525,63;R$19.099.165,19;R$24.893.922,00;R$25.000.000,00;R$47.059.009,86;
1440;07/11/2012;2;6;28;36;51;56;1;RIALMA/GO;R$24.405.605,10;148;R$19.463,78;11068;R$371,81;R$0,00;R$49.203.458,00;R$2.000.000,00;R$47.817.072,71;
1441;10/11/2012;17;29;36;38;53;56;0;;R$0,00;66;R$26.165,75;5471;R$450,93;R$3.181.203,48;R$29.497.406,00;R$6.700.000,00;R$48.271.530,35;
1442;14/11/2012;12;13;20;30;34;49;0;;R$0,00;80;R$25.198,19;6274;R$459,00;R$6.894.620,79;R$34.432.308,00;R$11.000.000,00;R$48.802.018,55;
1443;17/11/2012;12;20;32;48;52;54;0;;R$0,00;72;R$29.228,38;5984;R$502,39;R$10.771.227,06;R$35.945.462,00;R$15.000.000,00;R$49.355.819,46;
1444;21/11/2012;2;5;27;28;48;55;0;;R$0,00;175;R$13.021,24;11165;R$291,56;R$27.713.340,32;R$38.922.186,00;R$32.000.000,00;R$49.955.481,87;
1445;24/11/2012;5;19;32;41;49;58;1;ARAXÁ/MG;R$33.883.410,57;133;R$25.183,96;10497;R$455,83;R$0,00;R$57.211.388,00;R$2.500.000,00;R$50.836.920,50;
1446;28/11/2012;6;13;24;32;40;51;1;RIBEIRÃO PIRES/SP;R$2.639.040,77;87;R$16.466,92;5521;R$370,69;R$0,00;R$24.470.254,00;R$2.500.000,00;R$51.213.926,34;
1447;01/12/2012;1;19;28;33;39;41;0;;R$0,00;51;R$32.040,96;4339;R$538,00;R$3.010.163,50;R$27.911.454,00;R$6.000.000,00;R$51.643.949,71;
1448;05/12/2012;1;25;29;36;56;60;0;;R$0,00;83;R$21.898,01;6212;R$417,97;R$6.358.254,43;R$31.044.854,00;R$10.000.000,00;R$52.122.248,43;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1449;08/12/2012;2;6;18;30;52;56;0;;R$0,00;116;R$18.517,69;8481;R$361,82;R$22.336.184,15;R$36.690.336,00;R$27.000.000,00;R$52.687.525,39;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1450;12/12/2012;26;27;31;38;44;45;0;;R$0,00;88;R$30.888,14;7146;R$543,39;R$27.343.313,77;R$46.428.132,00;R$33.000.000,00;R$53.402.829,63;
1451;15/12/2012;2;10;11;33;52;57;0;;R$0,00;164;R$19.191,54;12868;R$349,41;R$33.141.179,59;R$53.760.158,00;R$40.000.000,00;R$54.231.096,19;
1452;18/12/2012;2;14;28;50;57;58;0;;R$0,00;60;R$36.504,89;5878;R$532,32;R$37.175.930,17;R$37.411.840,00;R$41.000.000,00;R$54.807.489,15;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1453;20/12/2012;6;13;25;32;47;57;0;;R$0,00;282;R$10.734,25;14237;R$303,74;R$42.752.088,24;R$51.704.394,00;R$48.000.000,00;R$55.604.083,17;
1454;22/12/2012;4;27;29;41;48;52;0;;R$0,00;144;R$23.883,32;11007;R$446,36;R$122.411.671,25;R$58.744.064,00;R$230.000.000,00;R$122.411.671,25;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1455;31/12/2012;14;32;33;36;41;52;3;"APARECIDA DE GOIÂNIA/GO; FRANCA/SP; SÃO PAULO/SP";R$81.594.699,72;1368;R$27.413,18;113258;R$473,01;R$0,00;R$640.548.924,00;R$2.500.000,00;R$0,00;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1456;02/01/2013;6;8;14;26;36;40;0;;R$0,00;24;R$29.713,02;2685;R$379,41;R$1.313.627,95;R$12.180.490,00;R$3.500.000,00;R$187.661,16;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1457;05/01/2013;15;16;34;42;46;59;0;;R$0,00;96;R$18.748,79;6867;R$374,43;R$4.629.202,83;R$30.743.352,00;R$7.500.000,00;R$661.314,73;
1458;09/01/2013;2;4;16;33;44;51;0;;R$0,00;134;R$15.358,12;9515;R$308,98;R$8.420.233,24;R$35.151.968,00;R$13.000.000,00;R$1.202.890,51;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1459;12/01/2013;2;6;30;34;35;52;1;LAGES/SC;R$13.246.202,09;147;R$17.821,85;11563;R$323,66;R$0,00;R$44.748.336,00;R$13.000.000,00;R$1.892.314,64;
1460;16/01/2013;4;14;27;38;50;52;0;;R$0,00;103;R$20.925,78;7074;R$435,26;R$12.296.574,51;R$36.815.066,00;R$17.000.000,00;R$2.459.513,28;
1461;19/01/2013;31;36;44;47;49;54;0;;R$0,00;99;R$27.077,55;6683;R$573,02;R$17.234.665,08;R$45.787.974,00;R$23.000.000,00;R$3.164.954,80;
1462;23/01/2013;5;9;25;27;38;40;1;SÃO PAULO/SP;R$22.470.803,48;392;R$7.251,21;12264;R$331,10;R$0,00;R$48.551.594,00;R$2.000.000,00;R$3.912.974,58;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1463;26/01/2013;13;22;28;29;40;48;0;;R$0,00;46;R$35.283,98;4520;R$512,97;R$2.989.852,91;R$27.723.126,00;R$6.000.000,00;R$4.340.096,43;
1464;30/01/2013;2;24;32;50;54;59;0;;R$0,00;76;R$23.495,23;5570;R$457,97;R$19.117.004,46;R$30.500.016,00;R$25.000.000,00;R$4.810.001,00;
1465;02/02/2013;6;11;16;26;44;53;0;;R$0,00;117;R$23.295,61;7939;R$490,45;R$24.137.821,57;R$46.555.048,00;R$30.000.000,00;R$5.527.260,60;
1466;06/02/2013;4;6;13;34;37;51;1;RIO DE JANEIRO/RJ;R$29.873.254,83;213;R$14.617,47;15287;R$290,95;R$0,00;R$53.181.258,00;R$3.000.000,00;R$6.346.608,23;
1467;09/02/2013;23;24;26;41;52;53;1;CONTAGEM/MG;R$3.097.080,96;75;R$22.416,97;3925;R$611,92;R$0,00;R$28.717.388,00;R$1.500.000,00;R$6.789.048,38;
1468;13/02/2013;1;2;10;19;20;37;1;VOLTA REDONDA/RJ;R$1.542.491,77;179;R$4.677,95;6493;R$184,23;R$0,00;R$14.302.608,00;R$2.000.000,00;R$7.009.404,35;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1469;16/02/2013;4;13;35;54;56;58;0;;R$0,00;105;R$15.231,81;6920;R$330,16;R$14.475.394,97;R$27.317.922,00;R$19.000.000,00;R$7.430.283,35;
1470;20/02/2013;2;34;36;38;51;55;2;"IÚNA/ES; CÓRREGO NOVO/MG";R$9.438.162,39;172;R$13.889,98;9203;R$370,85;R$0,00;R$40.807.202,00;R$3.000.000,00;R$8.058.987,62;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1471;23/02/2013;10;25;33;36;40;58;0;;R$0,00;92;R$17.770,13;5159;R$452,70;R$3.011.569,17;R$27.924.488,00;R$6.500.000,00;R$8.489.211,81;
1472;27/02/2013;12;18;23;25;45;50;0;;R$0,00;130;R$13.563,89;7002;R$359,75;R$6.259.763,90;R$30.118.576,00;R$10.000.000,00;R$8.953.239,64;
1473;02/03/2013;2;12;33;57;58;60;0;;R$0,00;121;R$18.428,91;8300;R$383,80;R$10.367.470,95;R$38.088.322,00;R$15.000.000,00;R$9.540.054,94;
1474;06/03/2013;1;2;3;11;28;43;1;ALTO PARNAÍBA/MA;R$14.742.572,93;158;R$15.031,99;11838;R$286,61;R$0,00;R$40.567.716,00;R$16.000.000,00;R$10.165.069,53;
1475;09/03/2013;12;13;37;44;48;51;1;COTIA/SP;R$16.179.244,60;111;R$20.277,36;9065;R$354,70;R$0,00;R$38.445.112,00;R$3.000.000,00;R$10.757.381,79;
1476;13/03/2013;4;10;26;37;47;57;0;;R$0,00;58;R$25.819,12;4681;R$457,01;R$2.758.568,78;R$25.578.566,00;R$7.000.000,00;R$11.151.463,06;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1477;16/03/2013;3;4;46;50;56;59;0;;R$0,00;58;R$33.527,40;4036;R$688,30;R$6.340.706,88;R$33.215.034,00;R$10.000.000,00;R$11.663.197,09;
1478;20/03/2013;10;27;37;40;47;55;0;;R$0,00;56;R$35.716,33;4924;R$580,28;R$10.025.127,83;R$34.163.442,00;R$15.000.000,00;R$12.189.542,95;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1479;23/03/2013;21;48;50;54;57;60;0;;R$0,00;59;R$40.564,43;5006;R$682,98;R$26.112.714,84;R$40.879.372,00;R$32.000.000,00;R$12.819.359,12;
1480;27/03/2013;9;14;21;26;36;52;1;TERESÓPOLIS/RJ;R$31.618.202,79;151;R$19.792,67;11395;R$374,68;R$0,00;R$51.049.112,00;R$2.500.000,00;R$13.605.857,42;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1481;30/03/2013;17;27;28;40;44;55;0;;R$0,00;46;R$28.132,97;3154;R$586,15;R$2.383.898,76;R$22.104.474,00;R$5.200.000,00;R$13.946.414,38;
1482;03/04/2013;6;9;11;34;41;53;0;;R$0,00;79;R$20.782,22;5433;R$431,69;R$5.408.258,78;R$28.043.090,00;R$9.000.000,00;R$14.378.465,82;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1483;06/04/2013;1;35;39;53;55;56;0;;R$0,00;53;R$38.750,70;4817;R$609,08;R$9.191.551,17;R$35.080.218,00;R$13.000.000,00;R$14.918.936,18;
1484;10/04/2013;17;20;24;29;49;53;0;;R$0,00;85;R$25.680,65;7114;R$438,34;R$24.978.254,24;R$37.284.786,00;R$30.000.000,00;R$15.493.371,66;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1485;13/04/2013;4;27;30;36;54;59;0;;R$0,00;212;R$14.575,86;12408;R$355,77;R$30.670.509,92;R$52.780.898,00;R$37.000.000,00;R$16.306.551,06;
1486;17/04/2013;1;6;10;34;40;54;1;LONDRINA/PR;R$37.137.524,71;174;R$20.176,24;12128;R$413,52;R$0,00;R$59.964.778,00;R$2.500.000,00;R$17.230.410,34;
1487;20/04/2013;4;9;17;23;28;53;0;;R$0,00;198;R$8.062,23;9593;R$237,72;R$2.940.589,52;R$27.266.336,00;R$6.500.000,00;R$17.650.494,57;
1488;24/04/2013;4;22;25;38;45;51;1;HORTOLÂNDIA/SP;R$6.092.267,98;144;R$11.881,33;7105;R$344,00;R$0,00;R$29.223.638,00;R$2.800.000,00;R$18.100.734,36;Sorteio realizado em Estúdio de TV.
1489;27/04/2013;1;15;24;26;28;48;1;CAMPO GRANDE/MS;R$2.867.241,35;86;R$18.098,87;5462;R$407,09;R$0,00;R$26.586.222,00;R$17.000.000,00;R$18.510.340,29;
1490;02/05/2013;1;3;31;32;43;52;0;;R$0,00;73;R$26.934,64;4902;R$573,01;R$16.896.662,04;R$33.584.654,00;R$20.500.000,00;R$19.027.768,93;
1491;04/05/2013;6;26;45;50;56;60;0;;R$0,00;74;R$31.442,92;5450;R$609,90;R$21.182.827,87;R$39.743.064,00;R$25.000.000,00;R$19.640.078,34;
1492;08/05/2013;4;9;18;44;46;48;1;NEPOMUCENO/MG;R$26.460.707,33;232;R$12.349,72;12719;R$321,80;R$0,00;R$48.938.634,00;R$2.400.000,00;R$20.394.061,14;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1493;11/05/2013;7;12;24;27;30;49;2;"SALVADOR/BA; CAMPINAS/SP";R$1.471.764,39;137;R$11.663,62;9075;R$251,54;R$0,00;R$27.293.590,00;R$2.500.000,00;R$20.814.565,27;
1494;15/05/2013;2;14;24;28;35;50;0;;R$0,00;68;R$20.542,92;5746;R$347,30;R$14.329.345,31;R$23.860.410,00;R$19.000.000,00;R$21.182.175,42;
1495;18/05/2013;4;13;14;44;49;57;0;;R$0,00;140;R$16.899,84;9828;R$343,91;R$18.687.724,13;R$40.412.652,00;R$24.000.000,00;R$21.804.800,99;
1496;22/05/2013;14;18;28;41;47;54;0;;R$0,00;106;R$25.446,39;8337;R$462,19;R$23.656.465,87;R$46.072.184,00;R$29.000.000,00;R$22.514.621,25;
1497;25/05/2013;4;5;7;27;45;58;0;;R$0,00;252;R$11.685,01;17540;R$239,82;R$29.080.768,61;R$50.296.330,00;R$34.500.000,00;R$23.289.521,66;
1498;29/05/2013;6;11;27;40;46;49;0;;R$0,00;237;R$14.636,95;14820;R$334,38;R$35.470.952,42;R$59.252.370,00;R$43.000.000,00;R$24.202.405,07;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1499;01/06/2013;8;22;26;33;37;54;1;PEDRA PRETA/MT;R$43.036.617,07;295;R$13.922,29;18276;R$321,03;R$0,00;R$70.151.904,00;R$22.000.000,00;R$25.283.214,32;
1500;05/06/2013;10;18;31;43;57;59;1;MIRANTE DO PARANAPANEMA/SP;R$22.610.179,37;81;R$30.598,43;7055;R$501,86;R$0,00;R$42.334.170,00;R$3.000.000,00;R$25.935.444,12;
1501;08/06/2013;1;7;13;29;37;54;1;Uruara/PA;R$3.144.718,24;238;R$7.172,83;11210;R$217,55;R$0,00;R$29.159.100,00;R$3.000.000,00;R$26.384.689,60;
1502;12/06/2013;6;22;43;51;52;57;0;;R$0,00;48;R$31.688,04;3580;R$606,95;R$2.801.889,58;R$25.980.254,00;R$6.000.000,00;R$26.784.959,56;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1503;15/06/2013;3;4;16;22;36;42;0;;R$0,00;111;R$16.427,17;8448;R$308,34;R$6.160.813,94;R$31.145.306,00;R$10.000.000,00;R$27.264.805,91;
1504;19/06/2013;2;10;12;30;41;42;0;;R$0,00;74;R$25.045,42;5957;R$444,46;R$20.439.900,82;R$31.656.794,00;R$25.000.000,00;R$27.752.532,60;
1505;22/06/2013;1;2;6;9;16;32;0;;R$0,00;263;R$9.151,90;15199;R$226,23;R$24.873.756,07;R$41.112.500,00;R$29.500.000,00;R$28.385.940,50;
1506;26/06/2013;3;14;18;34;42;49;0;;R$0,00;182;R$13.681,20;10892;R$326,58;R$29.460.557,82;R$42.530.682,00;R$35.000.000,00;R$29.041.197,91;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1507;29/06/2013;24;46;50;51;52;56;0;;R$0,00;93;R$34.293,63;7021;R$648,93;R$35.335.598,46;R$54.475.754,00;R$42.000.000,00;R$29.880.489,43;
1508;03/07/2013;17;18;30;35;39;58;2;"TERESÓPOLIS/RJ; SÃO PAULO/SP";R$21.168.975,92;115;R$33.054,59;10276;R$528,45;R$0,00;R$64.928.654,00;R$2.500.000,00;R$30.880.825,64;
1509;06/07/2013;1;6;27;46;51;59;0;;R$0,00;71;R$22.607,95;5633;R$407,08;R$18.579.983,72;R$27.417.412,00;R$22.000.000,00;R$31.303.237,45;
1510;10/07/2013;1;8;17;44;46;53;1;PONTA GROSSA/PR;R$22.933.056,04;95;R$24.874,70;9101;R$370,93;R$0,00;R$40.363.448,00;R$2.700.000,00;R$31.925.104,94;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1511;13/07/2013;4;8;17;29;31;45;0;;R$0,00;138;R$11.883,51;7658;R$305,92;R$3.020.912,81;R$28.011.126,00;R$6.500.000,00;R$32.356.663,93;
1512;17/07/2013;11;28;35;42;46;58;0;;R$0,00;94;R$19.009,23;5874;R$434,57;R$6.312.511,60;R$30.521.036,00;R$10.000.000,00;R$32.826.892,34;Sorteio realizado em estúdio de TV.
1513;20/07/2013;17;28;31;56;57;58;0;;R$0,00;44;R$47.603,75;4837;R$618,61;R$10.170.920,65;R$35.776.730,00;R$14.500.000,00;R$33.378.093,65;
1514;24/07/2013;16;17;23;42;59;60;1;TOLEDO/PR;R$14.061.405,08;66;R$31.999,66;6219;R$485,14;R$0,00;R$36.074.146,00;R$14.000.000,00;R$33.933.877,16;
1515;27/07/2013;4;13;14;18;49;59;1;SAPUCAIA DO SUL/RS;R$15.200.594,63;111;R$17.732,26;8567;R$328,21;R$0,00;R$33.619.702,00;R$2.500.000,00;R$34.451.845,80;
1516;31/07/2013;4;18;20;34;45;60;1;NOVO PROGRESSO/PA;R$2.581.185,45;56;R$25.021,69;3946;R$507,28;R$0,00;R$23.933.796,00;R$2.500.000,00;R$34.820.586,59;Sorteio realizado em estúdio de TV.
1517;03/08/2013;7;17;38;45;52;56;0;;R$0,00;60;R$25.710,14;5366;R$410,68;R$2.841.647,55;R$26.348.906,00;R$6.000.000,00;R$35.226.536,24;
1518;06/08/2013;8;9;28;41;48;55;0;;R$0,00;28;R$36.256,85;2892;R$501,47;R$4.711.737,63;R$17.340.232,00;R$6.700.000,00;R$35.493.691,99;
1519;08/08/2013;5;6;15;23;56;59;0;;R$0,00;72;R$21.543,33;5886;R$376,46;R$16.228.282,25;R$26.494.284,00;R$21.000.000,00;R$35.901.881,44;
1520;10/08/2013;7;31;35;36;46;48;0;;R$0,00;43;R$53.442,81;5886;R$557,74;R$20.461.515,75;R$39.252.254,00;R$25.000.000,00;R$36.506.629,10;
1521;14/08/2013;11;14;18;30;33;39;1;NOVA IGUAÇU/RJ;R$25.313.774,00;134;R$19.657,33;9266;R$406,10;R$0,00;R$44.992.102,00;R$2.500.000,00;R$37.199.808,87;
1522;17/08/2013;5;8;23;32;33;56;0;;R$0,00;93;R$16.446,20;6765;R$322,98;R$2.817.494,59;R$26.124.950,00;R$6.000.000,00;R$37.602.308,11;
1523;21/08/2013;22;25;31;39;41;44;0;;R$0,00;61;R$27.846,83;4254;R$570,44;R$5.946.598,97;R$29.014.322,00;R$9.500.000,00;R$38.049.323,03;
1524;24/08/2013;2;12;40;46;52;53;0;;R$0,00;53;R$38.596,27;4637;R$630,21;R$21.532.147,87;R$34.940.408,00;R$26.000.000,00;R$38.587.639,37;
1525;28/08/2013;2;26;30;35;46;54;0;;R$0,00;67;R$36.863,34;6260;R$563,63;R$26.081.860,01;R$42.186.772,00;R$32.000.000,00;R$39.237.598,27;
1526;31/08/2013;10;16;28;47;51;59;1;SÃO PAULO/SP;R$31.746.274,15;149;R$20.637,37;10735;R$409,20;R$0,00;R$52.522.740,00;R$2.500.000,00;R$40.046.800,31;
1527;04/09/2013;16;32;36;42;44;48;0;;R$0,00;92;R$14.866,46;5439;R$359,23;R$2.519.473,73;R$23.361.580,00;R$5.200.000,00;R$40.406.725,15;
1528;06/09/2013;4;13;15;19;36;58;0;;R$0,00;101;R$12.591,67;7347;R$247,28;R$4.862.186,40;R$21.722.580,00;R$7.500.000,00;R$40.741.398,40;
1529;11/09/2013;11;15;17;34;35;49;1;CAMPINA GRANDE DO SUL/PR;R$8.144.582,40;75;R$23.758,30;6622;R$384,40;R$0,00;R$30.435.704,00;R$15.000.000,00;R$41.210.312,13;
1530;14/09/2013;10;16;28;33;48;53;2;"GUARULHOS/SP; Ribeirão Preto/SP";R$7.800.140,92;138;R$15.973,07;9644;R$326,52;R$0,00;R$37.650.804,00;R$2.500.000,00;R$41.790.386,73;
1531;18/09/2013;12;13;24;41;42;44;0;;R$0,00;108;R$12.777,02;5944;R$331,64;R$2.541.953,77;R$23.570.024,00;R$5.500.000,00;R$42.153.523,00;
1532;21/09/2013;2;11;23;31;42;44;3;"PONTA PORÃ/MS; SÃO PAULO/SP";R$1.934.416,36;91;R$19.455,14;5676;R$445,58;R$0,00;R$30.240.050,00;R$2.500.000,00;R$42.619.422,34;
1533;25/09/2013;13;21;29;34;47;57;0;;R$0,00;89;R$15.085,80;5659;R$338,93;R$2.473.276,87;R$22.933.224,00;R$5.200.000,00;R$42.972.747,62;Sorteio realizado em Estúdio de TV.
1534;28/09/2013;1;12;28;29;34;48;1;ITALVA/RJ;R$5.734.618,57;89;R$19.892,61;6196;R$408,19;R$0,00;R$30.240.480,00;R$12.300.000,00;R$43.438.653,59;
1535;02/10/2013;8;9;25;41;54;55;0;;R$0,00;63;R$30.780,52;6058;R$457,28;R$13.376.862,66;R$33.122.518,00;R$17.000.000,00;R$43.948.962,26;Sorteio realizado em Estúdio de TV.
1536;05/10/2013;13;18;29;32;50;58;0;;R$0,00;89;R$27.340,47;7408;R$469,24;R$17.859.260,43;R$41.562.606,00;R$23.000.000,00;R$44.589.304,81;
1537;09/10/2013;6;10;33;50;51;56;1;VITÓRIA/ES;R$23.232.379,04;209;R$13.956,16;11870;R$351,04;R$0,00;R$49.821.730,00;R$2.500.000,00;R$45.356.893,20;Sorteio realizado em Estúdio de TV.
1538;11/10/2013;23;27;35;52;53;57;1;RIBEIRÃOZINHO/MT;R$2.163.459,28;132;R$8.897,35;5238;R$320,31;R$0,00;R$20.060.470,00;R$2.500.000,00;R$45.665.958,83;
1539;16/10/2013;8;10;20;26;49;58;0;;R$0,00;53;R$27.254,69;4366;R$472,64;R$14.133.639,10;R$24.673.116,00;R$17.500.000,00;R$46.046.090,11;SORTEIO REALIZADO EM ESTÚDIO DE TV
1540;19/10/2013;3;17;27;32;47;54;0;;R$0,00;299;R$8.340,81;14429;R$246,91;R$18.727.668,11;R$42.597.696,00;R$23.000.000,00;R$46.702.379,98;
1541;23/10/2013;5;24;37;44;49;58;0;;R$0,00;205;R$13.154,60;12026;R$320,34;R$23.695.260,85;R$46.061.530,00;R$29.000.000,00;R$47.412.036,10;Sorteio realizado em Estúdio de TV.
1542;26/10/2013;7;11;12;30;39;57;0;;R$0,00;154;R$20.868,02;11783;R$389,62;R$29.615.187,77;R$54.891.958,00;R$37.000.000,00;R$48.257.739,96;
1543;30/10/2013;7;15;20;23;30;41;0;;R$0,00;182;R$21.370,06;13138;R$422,91;R$36.779.781,70;R$66.433.014,00;R$45.000.000,00;R$49.281.253,40;SORTEIO REALIZADO EM ESTÚDIO DE TV
1544;01/11/2013;2;21;30;35;45;50;0;;R$0,00;152;R$26.624,88;10385;R$556,70;R$63.155.442,89;R$69.125.452,00;R$75.000.000,00;R$50.346.248,42;SORTEIO REALIZADO EM ESTÚDIO DE TV
1545;06/11/2013;4;6;11;24;45;48;1;MAUÁ/SP;R$80.499.108,16;680;R$13.845,79;45410;R$296,19;R$0,00;R$160.817.482,00;R$2.800.000,00;R$52.823.914,90;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1546;09/11/2013;4;17;38;44;53;60;0;;R$0,00;100;R$17.358,44;6673;R$371,61;R$3.197.606,56;R$29.649.502,00;R$6.500.000,00;R$53.280.715,85;
1547;13/11/2013;2;9;10;18;21;28;1;RECIFE/PE;R$6.867.422,89;227;R$8.776,15;11559;R$246,21;R$0,00;R$34.028.022,00;R$2.500.000,00;R$53.804.975,33;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1548;16/11/2013;19;41;42;44;47;54;0;;R$0,00;45;R$31.037,69;3429;R$581,88;R$2.572.861,18;R$23.856.610,00;R$5.700.000,00;R$54.172.526,94;
1549;20/11/2013;10;12;16;20;32;53;1;LONDRINA/PR;R$5.772.796,80;66;R$26.319,82;6564;R$378,05;R$0,00;R$29.671.098,00;R$23.000.000,00;R$54.629.660,61;SORTEIO REALIZADO EM ESTÚDIO DE TV
1550;23/11/2013;9;13;21;27;36;56;1;MONTANHA/ES;R$23.634.735,21;229;R$11.349,56;14109;R$263,16;R$0,00;R$44.393.694,00;R$2.500.000,00;R$55.313.620,88;
1551;27/11/2013;2;15;19;21;23;38;1;BOA VISTA/RR;R$2.820.316,51;131;R$11.687,25;7631;R$286,61;R$0,00;R$26.151.116,00;R$3.000.000,00;R$55.716.523,25;Sorteio realizado em Estúdio de TV.
1552;30/11/2013;7;18;24;26;39;46;0;;R$0,00;122;R$13.693,19;7839;R$304,44;R$3.077.362,89;R$28.534.554,00;R$6.500.000,00;R$56.156.146,53;
1553;04/12/2013;20;21;22;29;46;60;0;;R$0,00;48;R$39.092,63;3788;R$707,66;R$6.533.974,54;R$32.051.102,00;R$11.000.000,00;R$56.649.948,22;Sorteio realizado em Estúdio de TV.
1554;07/12/2013;30;32;49;50;52;53;0;;R$0,00;60;R$37.772,91;4098;R$790,06;R$22.222.363,27;R$38.711.366,00;R$27.500.000,00;R$57.246.362,58;
1555;11/12/2013;2;5;23;33;52;59;0;;R$0,00;167;R$16.791,74;13033;R$307,37;R$27.388.034,29;R$47.898.192,00;R$33.000.000,00;R$57.984.315,60;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1556;14/12/2013;1;4;7;10;11;52;0;;R$0,00;549;R$6.125,83;26705;R$179,90;R$33.583.180,67;R$57.443.904,00;R$40.000.000,00;R$58.869.336,52;
1557;17/12/2013;4;16;18;31;45;46;0;;R$0,00;123;R$20.612,58;8744;R$414,21;R$38.253.558,38;R$43.305.632,00;R$44.000.000,00;R$59.536.533,35;Sorteio realizado em Estúdio de TV.
1558;19/12/2013;7;15;17;31;42;54;0;;R$0,00;186;R$18.644,94;11538;R$429,38;R$44.641.902,75;R$59.235.314,00;R$53.000.000,00;R$60.449.153,98;SORTEIO REALIZADO EM ESTÚDIO DE TV.
1559;21/12/2013;8;12;16;29;37;58;1;OLÍMPIA/SP;R$51.491.466,00;317;R$11.729,76;16431;R$323,28;R$0,00;R$63.511.922,00;R$200.000.000,00;R$79.825.384,73;
1560;31/12/2013;20;30;36;38;47;53;4;"MACEIÓ/AL; TEOFILÂNDIA/BA; CURITIBA/PR; PALOTINA/PR";R$56.169.465,02;1147;R$38.701,20;90376;R$701,67;R$0,00;R$758.218.978,00;R$1.500.000,00;R$0,00;Sorteio realizado em Estúdio de TV.
1561;02/01/2014;23;26;28;54;55;60;0;;R$0,00;20;R$25.914,28;1669;R$443,62;R$954.736,58;R$8.852.704,00;R$3.000.000,00;R$136.390,97;
1562;04/01/2014;10;12;23;37;47;51;0;;R$0,00;59;R$22.007,62;4384;R$423,11;R$3.346.617,51;R$22.178.488,00;R$5.800.000,00;R$478.088,26;
1563;09/01/2014;1;6;13;20;36;43;1;ARROIO GRANDE/RS;R$6.872.625,83;202;R$9.475,83;10395;R$263,05;R$0,00;R$32.694.576,00;R$2.500.000,00;R$981.803,74;
1564;11/01/2014;25;38;44;46;53;54;1;RIO DE JANEIRO/RJ;R$3.219.906,28;71;R$24.619,00;5602;R$445,74;R$0,00;R$29.856.274,00;R$9.000.000,00;R$1.441.790,38;
1565;15/01/2014;18;37;39;41;43;51;0;;R$0,00;52;R$38.754,07;5157;R$558,24;R$10.056.109,18;R$34.421.316,00;R$15.000.000,00;R$1.972.109,22;Sorteio realizado em Estúdio de TV.
